"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13255","@web rahul academy page wait ADIDAS ORIGINAL","","2026-04-06","passed","2026-04-06","","FirstTest.spec.js","",""
"","15779","@web rahul academy page wait ZARA COAT 3","","2026-04-06","passed","2026-04-06","","FirstTest.spec.js","",""
"","12792","@web popup validations","","2026-04-06","failed","2026-04-06","","moreValidations.spec.js","",""
"","9605","@web rahul academy page wait iphone 13 pro","","2026-04-06","passed","2026-04-06","","FirstTest.spec.js","",""
